STATUS | wrapper  | 2023/04/17 15:27:03 | --> Wrapper Started as Console
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaorguser
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapamconf
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapammodule
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapammoduleoption
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapassword
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapasswordhint
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapasswordprofile
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapasswordrule
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapasswordstatus
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapermission
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaapostaladdress
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaradiusconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaremembermeinfo
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaarole
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaarolecategory
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaroleowner
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaroletocategory
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaservice
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaaservicepasswordrule
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaasimplepermission
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaatableaccessspi
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaatablepermission
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaatablereadpermission
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaatableupdatepermission
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaatrustedrole
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaauser
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaauserconfigrecord
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaausercontactinfo
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaauserpostaladdr
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaauserprofile
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaauserproperty
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaauserstatus
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aaausertwofactordetails
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acajaxform
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acajaxformoption
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acajaxoptions
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acclientencprops
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acclientprops
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table accolumnconfiguration
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table accolumnconfigurationlist
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table accontexthelp
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table accountsqlstring
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table accriteria
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table accvtabparentconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acdropdown
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acdropdownparams
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acelement
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acelementattr
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acemailaddress
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acfeedbackproperties
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acfilter
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acfilterconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acfilterconfiglist
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acfiltergroup
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acfilterlist
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acformconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acftpdetails
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acfunctioncolumns
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acgridlayoutchildconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acgridlayoutconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acgroupbycolumns
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acinstantfeedback
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acjsoption
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aclink
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table aclinkparams
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acmailconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acnavigationconfiguration
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acpagelengthconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acpanelelement
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acparams
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acpsconfiglist
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acpsconfiguration
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acrelationalcriteria
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acrendererconfiguration
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acsqlstring
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acsumsqlstring
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table actabchildconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table actablecolumns
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table actablefilterlistrel
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table actablelayoutchildconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table actableviewconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table actemplatehandler
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table action
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table activedirectoryinfo
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acuserclientstate
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acuserfiltergroup
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acuserpreference
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acusertabchildconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table acviewtogroupmapping
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table additionalviewparams
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table allowedpattern
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table allowedvalues
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table archivepolicy
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table archivestatus
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table archivetabledetails
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table auditconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table auditconfigproperty
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table auditlevel
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table auditnotifycriteria
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table auditoperproperty
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table auditrecord
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table auditresourceprop
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table auditresultproperty
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table auditseveritylevel
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table audittableconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table audituserproperty
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table authconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table axiscolumn
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table backupdetails
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table bean
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table beaninterceptor
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table beaninterceptorproperties
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table beanproperties
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table calendar
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table calendar_periodicity
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table chartproperty
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table chartpropertyset
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table chartpropkey
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table chartviewconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table clientserviceproviders
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table columndetails
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table composite
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table conffile
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table conffiletomodule
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table constituenttable
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table constraintdefinition
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table criteria
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table csrmenuitem
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table customattributes
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table customviewconfiguration
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table customviewserviceproviders
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table datasource
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table dbadapter
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table dbcredentialsaudit
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table default_task_input
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table defaulttheme
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table dominanttableconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table dynamiccolumnconfiguration
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table emptytablemessage
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table expression
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table featureparams
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table fkcolumndefinition
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table fkdefinition
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table forward
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table fosnodedetails
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table functionparams
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table haproperties
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table indexdefinition
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table javascriptaction
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table joincolumns
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table joincriteria
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table joinrelcri_expression
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table joinrelcriteria
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table jointable
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table menu
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table menuandmenuitem
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table menuitem
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table modespecificserviceproviders
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table module
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table modulecontext
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table objectidentifiercolumns
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table openviewincontentarea
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table operationauditrecord
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table operationparams
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table pdfuicomponent
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table pdfviewconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table periodic
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table personalityconfiguration
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table personalizedviewmap
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table piiredactconfig
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table pkdefinition
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table rangevalues
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table relationalcriteria
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table relcri_expression
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table reminder_audit
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table samlidp
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table samlsp
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table sb_applications
INFO   | jvm 1    | 2023/04/17 15:27:09 | Dropped table schedule
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table schedule_audit
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table schedule_view
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table scheduled_task
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table scheduledreports
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table scheduledtask_retry
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table selcol_expression
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table selectcolumn
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table selectquery
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table selectsqlstring
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table selecttable
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table seqgenstate
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table serverdetails
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table serverserviceproviders
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table serverstatus
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table service
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table serviceproperties
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table sortcol_expression
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table sortcolumn
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table sqintreequery
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table systemtemplatehandler
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tabledetails
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tabledsmap
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tablesintree
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tabletemplatefiles
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tableviewsortcolumn
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table task_input
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table taskengine_task
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table templatefiles
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table templateviewparams
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table theme
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table themeattributesmapping
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table threadpool
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tiledview
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tmpcolumnrenderer
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tmpviewcolumn
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tmpviewcriteria
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table tmpviewdetails
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table treedefinition
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table treeidentifiercolumns
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table treequery
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table treequeryidentifiercolumns
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table uicomponent
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table uicomponent_pidx
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table uinavigationconfig
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table uniquekeydefinition
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table uvhvalues
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table validationfiles
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table viewconfiguration
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table viewconfiguration_pidx
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table viewdatatablemapping
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table viewtoopen
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table webmenuitem
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table webuicomponent
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table webviewconfig
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table working_hours
INFO   | jvm 1    | 2023/04/17 15:27:10 | Dropped table yseriescolumn
INFO   | jvm 1    | 2023/04/17 15:27:10 | 
STATUS | wrapper  | 2023/04/17 15:27:12 | <-- Wrapper Stopped
STATUS | wrapper  | 2023/04/17 15:27:20 | --> Wrapper Started as Console
STATUS | wrapper  | 2023/04/17 15:27:20 | Java Service Wrapper Professional Edition 64-bit 3.5.40
STATUS | wrapper  | 2023/04/17 15:27:20 |   Copyright (C) 1999-2019 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2023/04/17 15:27:20 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2023/04/17 15:27:20 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2023/04/17 15:27:20 | 
WARN   | wrapper  | 2023/04/17 15:27:20 | Running in a console with QuickEdit Mode. Be careful when selecting text in the
WARN   | wrapper  | 2023/04/17 15:27:20 |   console as this may cause to block the Java Application.
WARN   | wrapper  | 2023/04/17 15:27:20 | 
STATUS | wrapper  | 2023/04/17 15:27:21 | Launching a JVM...
INFO   | jvm 1    | 2023/04/17 15:27:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2023/04/17 15:27:23 | Starting Server from location: D:\MickeyLite\Applications\LenderB
INFO   | jvm 1    | 2023/04/17 15:27:24 | Free edition...
INFO   | jvm 1    | 2023/04/17 15:27:24 | 
INFO   | jvm 1    | 2023/04/17 15:27:40 | Loading Modules
INFO   | jvm 1    | 2023/04/17 15:27:40 | 
INFO   | jvm 1    | 2023/04/17 15:27:40 |      ModulePreStartProcess :: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2023/04/17 15:27:40 | Persistence                                       [POPULATED]
INFO   | jvm 1    | 2023/04/17 15:27:40 |      ModulePostStartProcess:: Persistence::DBAUDIT[ STARTED ]
INFO   | jvm 1    | 2023/04/17 15:27:41 | Audit                                             [POPULATED]
INFO   | jvm 1    | 2023/04/17 15:27:41 | Authentication
INFO   | jvm 1    | 2023/04/17 15:27:43 |                                     [POPULATED]
INFO   | jvm 1    | 2023/04/17 15:27:44 | Authorization
INFO   | jvm 1    | 2023/04/17 15:27:44 |                                      [POPULATED]
INFO   | jvm 1    | 2023/04/17 15:27:44 | CustomView
INFO   | jvm 1    | 2023/04/17 15:27:45 |                                         [POPULATED]
INFO   | jvm 1    | 2023/04/17 15:27:45 | TaskEngine
INFO   | jvm 1    | 2023/04/17 15:27:45 |                                         [POPULATED]
INFO   | jvm 1    | 2023/04/17 15:27:45 | Tomcat                                            [POPULATED]
INFO   | jvm 1    | 2023/04/17 15:27:46 | ClientFramework
INFO   | jvm 1    | 2023/04/17 15:27:47 |                                    [POPULATED]
INFO   | jvm 1    | 2023/04/17 15:27:48 | ClientComponents
INFO   | jvm 1    | 2023/04/17 15:27:52 |                                   [POPULATED]
INFO   | jvm 1    | 2023/04/17 15:27:52 | Lender
INFO   | jvm 1    | 2023/04/17 15:27:52 | Stopping Module processors
INFO   | jvm 1    | 2023/04/17 15:27:52 | 
INFO   | jvm 1    | 2023/04/17 15:27:52 | ModuleStopProcess:: Persistence::DBAUDIT     [ STOPPED ]
INFO   | jvm 1    | 2023/04/17 15:27:52 | 
INFO   | jvm 1    | 2023/04/17 15:27:52 | 
INFO   | jvm 1    | 2023/04/17 15:27:52 | Problem while Starting Server
INFO   | jvm 1    | 2023/04/17 15:27:52 | System halted
STATUS | wrapper  | 2023/04/17 15:27:55 | <-- Wrapper Stopped
STATUS | wrapper  | 2023/04/17 15:39:08 | --> Wrapper Started as Console
STATUS | wrapper  | 2023/04/17 15:39:08 | Java Service Wrapper Professional Edition 64-bit 3.5.40
STATUS | wrapper  | 2023/04/17 15:39:08 |   Copyright (C) 1999-2019 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2023/04/17 15:39:08 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2023/04/17 15:39:08 |   Licensed to Zoho Corporation Pvt. Ltd. for MickeyLite
STATUS | wrapper  | 2023/04/17 15:39:08 | 
WARN   | wrapper  | 2023/04/17 15:39:08 | Running in a console with QuickEdit Mode. Be careful when selecting text in the
WARN   | wrapper  | 2023/04/17 15:39:08 |   console as this may cause to block the Java Application.
WARN   | wrapper  | 2023/04/17 15:39:08 | 
STATUS | wrapper  | 2023/04/17 15:39:09 | Launching a JVM...
INFO   | jvm 1    | 2023/04/17 15:39:09 | WrapperManager: Initializing...
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccadminprofile
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccbadloginstatus
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaacchttpsession
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccoldpassword
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccount
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccountowner
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccountstatus
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccownerprofile
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccpassword
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccsession
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccsessionaudit
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccsessionprop
INFO   | jvm 1    | 2023/04/17 15:39:14 | Dropped table aaaaccuserprofile
